J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, w1, w2, boundary 
0.2, 1.4285714285714286, 0.0, -2.002363175120899e-06, 6.880201296396688e-13, 4.223348698912126e-11, -1.9999999999951967, -0.4285714285643931, 2.4285714285790285, 1.0, 0.0, 0.0, 2.8845645185397366, 0.9798026137778211, 0 
0.2, 1.4285714285714286, 0.5, -1.0610655614000346e-05, 0.04123155292329149, 0.10005217630770234, -1.9999999998889448, -0.42857142840875856, 2.4285714287471025, 0.9584955418821594, 0.0413680055135453, 0.0001364526042946004, 2.887444130265671, 0.9852793546548528, 0 
0.2, 1.4285714285714286, 1.0, -5.091560438523425e-06, 0.16054761184779512, 0.15677546941561757, -1.999999999977206, -0.4285714285380444, 2.4285714286074835, 0.8198873786830659, 0.1703301165815221, 0.009782504735409307, 2.8976512638987453, 1.0031809479673168, 0 
0.2, 1.4285714285714286, 1.5, 1.7621123111606304e-06, 0.21280072903927727, 0.16134198871643102, -1.9999999999237263, -0.42857142845970997, 2.4285714286920808, 0.7127648966175427, 0.2500179162093107, 0.0372171871731449, 2.906855050029793, 1.0159030954621175, 0 
0.2, 1.4285714285714286, 2.0, 1.0088279927530973e-06, 0.22144208091367423, 0.15569729044987482, -1.9999999999750537, -0.4285714285348871, 2.4285714286108924, 0.6389672133819978, 0.29123743376554784, 0.0697953528524546, 2.914094838929395, 1.02381088861084, 0 
0.2, 2.142857142857143, 0.0, -9.789661169713295e-06, 6.291681506206419e-11, 0.20175208807266704, -1.9999999999062301, -1.1428571426542835, 3.14285714303596, 1.0, 0.0, 0.0, 3.360754994742643, 0.5036121376056305, 0 
0.2, 2.142857142857143, 0.5, -2.4803377329797087e-06, 0.1525753433558663, 0.2714706254212802, -1.9999999999920604, -1.1428571428399654, 3.142857142872284, 0.8473668373913009, 0.15260425298047792, 2.890962822304181e-05, 3.3713161214565286, 0.5242307794779733, 0 
0.2, 2.142857142857143, 1.0, -5.145341865740112e-06, 0.29263587136236013, 0.211091497888132, -1.9999999999812845, -1.1428571428166578, 3.142857142892834, 0.699196150890818, 0.29671986023344704, 0.0040839888757332665, 0.5440464593388333, 3.381766577788739, 0 
0.2, 2.142857142857143, 1.5, 1.6530580257768232e-06, 0.3332714065027148, 0.17359522343522477, -1.9999999999476508, -1.1428571427438898, 3.142857142956978, 0.6261147335451459, 0.35357833647464715, 0.020306929980207566, 0.5528927276089012, 3.3878525156068093, 0 
0.2, 2.142857142857143, 2.0, 9.917325372043754e-07, 0.33278795269729405, 0.15454024982575715, -1.9999999999828995, -1.1428571428201464, 3.142857142889757, 0.5787488030676592, 0.3770195748138718, 0.044231622118469344, 0.557725242645655, 3.3926878307376556, 0 
0.2, 2.857142857142857, 0.0, 0.4340266129520757, 0.2882172686759266, 0.699999999944188, -2.026902891158687, -1.68714201688217, 3.940103615537439, 1.0, 0.0, 0.0, 3.9140702449855267, 0.18831076392545737, 1 
0.2, 2.857142857142857, 0.5, -4.186571650085907e-06, 0.4290467320965489, 0.42393935586072445, -2.000000000036791, -1.857142857045467, 3.857142857178129, 0.5709439316909038, 0.42905140016970034, 4.668139396855988e-06, 0.08561285085860934, 3.8664651390007823, 0 
0.2, 2.857142857142857, 1.0, -4.601049588104306e-06, 0.4621068945451266, 0.24194045945434847, -2.0000000000294675, -1.8571428570648512, 3.8571428571711097, 0.5348344921245539, 0.4636362011970597, 0.0015293066783863246, 0.09040855841892521, 3.8690220410389307, 0 
0.2, 2.857142857142857, 1.5, 1.5118824964693332e-06, 0.4607939053753127, 0.1769429050083328, -2.000000000080126, -1.8571428569307498, 3.857142857219676, 0.5183221184900957, 0.4712358934189703, 0.010441988090934476, 0.09204558699193605, 3.8707402209026798, 0 
