J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
, 00.5903225806451613, 0.967741935483871, 0.0, 0.6395341230246194, 0.1634671643362905, 0.23720421398615502, -2.0966505757286495, -0.26743313396412366, 1.2332100719752517, 3.062427513739782, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 1.129032258064516, 0.0, 0.6589084205966339, 0.20347411010215058, 0.25757407077833444, -2.1261984393408806, -0.3431311520405911, 1.3683096827783083, 3.151376970078593, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 1.2903225806451613, 0.0, 0.6745945991212944, 0.24655557426478547, 0.2753711629284486, -2.162452657039782, -0.41860171999412993, 1.4931726979163127, 3.2370236349619668, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 1.4516129032258065, 0.0, 0.6860286416886693, 0.2923035174984243, 0.2907624041691022, -2.205875765724791, -0.4956576908456116, 1.6069642636305963, 3.3171823385097716, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 1.6129032258064515, 0.0, 0.6928053694782841, 0.3403498981903023, 0.30402686511415483, -2.256867548363861, -0.5757784555028281, 1.709148884353988, 3.3902379772150204, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 1.7741935483870968, 0.0, 0.6946155970044525, 0.39037669979331296, 0.315463093473281, -2.3157724347950546, -0.6601128094196617, 1.7994137313698484, 3.4550733567452423, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 1.935483870967742, 0.0, 0.6911394834414697, 0.4421121864074897, 0.3253473400291264, -2.3828873249793556, -0.749631610229616, 1.8775580974506323, 3.510813812200368, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 2.096774193548387, 0.0, 0.6820293716074567, 0.49532745464141825, 0.3339260931199852, -2.4584688441242983, -0.8450944958762598, 1.94348189798679, 3.5568562462348297, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 2.258064516129032, 0.0, 0.6668362989900714, 0.5498302809623237, 0.3414039810602887, -2.5427396800988458, -0.9471382659527268, 1.997134767708903, 3.59273618185503, 1.0, 0.0, 0.0, 0.0
, 00.5903225806451613, 2.4193548387096775, 0.0, 0.6449604662306193, 0.6054577711124791, 0.34794942822139985, -2.635893954362918, -1.0562733048738164, 2.0385086926038385, 3.618129342092934, 1.0, 0.0, 0.0, 0.0
