J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3 
0.22666666666666666, 1.6666666666666665, 0.0, 0.4356867682589178, 0.1746693004093854, 0.9436633374508642, -2.0163235754289914, -1.4994541326906716, 1.6715602831232188, 2.1884297258615417, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.746031746031746, 0.0, 0.49446889851896825, 0.25000894530780027, 0.9541688523873256, -2.0331701852717736, -1.5179136251336844, 1.7395931641869964, 2.2548497243250827, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.8253968253968254, 0.0, 0.5328924674310768, 0.32612467380419896, 0.9635231156195082, -2.0560274651971335, -1.542290342203712, 1.7997604484096499, 2.3134975714030728, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.9047619047619047, 0.0, 0.5552149605409803, 0.40294912239026187, 0.9719980137261343, -2.084954506587398, -1.5726296900196308, 1.8521220682034019, 2.3644468847711675, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.984126984126984, 0.0, 0.5633357158615465, 0.48041007280834724, 0.9796340873904036, -2.120004449849485, -1.6090001477200682, 1.8967282111338968, 2.4077325132633147, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.0634920634920633, 0.0, 0.5578648741639561, 0.5584465965792148, 0.9865524662486354, -2.1612252893156243, -1.651458343664942, 1.933624994493855, 2.443391940144534, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.142857142857143, 0.0, 0.5383768276481826, 0.6370057023716227, 0.9928377113315843, -2.2086605438270372, -1.7000571387096197, 1.9628541171269673, 2.471457522244381, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.2222222222222223, 0.0, 0.5032400828709621, 0.7160398840921647, 0.998578910418445, -2.2623498191453373, -1.7548402633541471, 1.9844541234681086, 2.4919636792593045, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.3015873015873014, 0.0, 0.4487778302866708, 0.7955102913269314, 1.0038594584846428, -2.322329282756834, -1.8158552771793683, 1.9984593409812126, 2.504933346558681, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.380952380952381, 0.0, 0.36646218238999495, 0.8753826552802032, 1.0086991564759757, -2.3886320671955037, -1.8831414245700888, 2.0049017994545473, 2.5103924420799597, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.46031746031746, 0.0, 0.22788252810359638, 0.9556212685453402, 0.7850892715902714, -2.4612886145528488, -1.9567281133111738, 2.003811718245172, 2.508372219486848, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.5396825396825395, 0.0, 5.541502363181619e-06, 0.9999999999770717, 0.27958600601505135, -2.539682539681667, -1.9999999999747227, 2.000000000003776, 2.5396825397107214, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.619047619047619, 0.0, 2.4998658052703075e-05, 0.9999999996588405, 1.4394835323727762e-10, -2.619047618999587, -1.999999999537031, 2.0000000001036433, 2.6190476195662002, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.698412698412698, 0.0, 4.300472280829505e-07, 0.9999999999999206, 1.9320379296416947e-09, -2.6984126984126755, -1.9999999999998703, 2.0000000000000373, 2.6984126984128465, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.7777777777777777, 0.0, 9.94135184746183e-06, 0.9999999999655131, -1.6869805552488516e-11, -2.777777777763332, -1.9999999999332918, 2.000000000022954, 2.777777777852995, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.8571428571428568, 0.0, 3.068266063988392e-06, 0.9999999999972429, 2.159137868495975e-10, -2.857142857141223, -1.99999999999378, 2.000000000002447, 2.8571428571498854, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.9365079365079363, 0.0, 9.327737361060394e-07, 0.9999999999997852, 1.733773125067728e-11, -2.9365079365077618, -1.999999999999441, 2.0000000000002447, 2.9365079365085704, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.015873015873016, 0.0, 1.5934883616633948e-07, 0.9999999999999949, 1.2401080162760538e-12, -3.015873015873011, -1.999999999999986, 2.000000000000008, 3.0158730158730336, 1.0, 0.0, 0.0, 0.0
