J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2 
0.1, 3.888888888888889, 0.0, 3.1999181788245562e-06, 0.9999999999640938, 2.24272100890488e-10, -2.8888888887392263, -1.9999999997885884, 4.888888889080781, 1.0, 0.0, 0.0
0.1, 3.968253968253968, 0.0, 3.1015120321367927e-06, 0.9999999999757971, 5.756115584176769e-11, -2.9682539681326054, -1.999999999833509, 4.968253968406804, 1.0, 0.0, 0.0
0.1, 4.0476190476190474, 0.0, 8.067324953023314e-06, 0.9999999999732305, 4.015907606458314e-11, -3.0476190474601763, -1.9999999997873814, 5.047619047816114, 1.0, 0.0, 0.0
0.1, 4.1269841269841265, 0.0, 3.166528798283566e-06, 0.9999999999821716, 7.867027029817564e-11, -3.126984126860605, -1.9999999998381626, 5.126984127135364, 1.0, 0.0, 0.0
0.1, 4.2063492063492065, 0.0, 6.74463208729173e-06, 0.9999999999857179, 4.93846963323108e-11, -3.2063492062350334, -1.999999999853124, 5.206349206487449, 1.0, 0.0, 0.0
0.1, 4.285714285714286, 0.0, 4.582753954858118e-06, 0.9999999999900104, 4.5507697610247535e-11, -3.2857142856230688, -1.999999999884527, 5.285714285823647, 1.0, 0.0, 0.0
0.1, 4.365079365079365, 0.0, 3.851549087430933e-06, 0.9999999999929413, 2.7362812016207274e-11, -3.365079365006382, -1.99999999990891, 5.36507936516611, 1.0, 0.0, 0.0
0.1, 4.444444444444445, 0.0, 3.5996934642582024e-06, 0.9999999999943537, 1.83134507558691e-11, -3.4444444443788496, -1.999999999919151, 5.444444444521812, 1.0, 0.0, 0.0
0.1, 4.523809523809524, 0.0, 4.548261188071223e-06, 0.9999999999958482, 1.4563050765303844e-11, -3.523809523755692, -1.9999999999343998, 5.523809523872561, 1.0, 0.0, 0.0
0.1, 4.603174603174603, 0.0, 1.6217071394340754e-06, 0.9999999999966653, 1.195273879872616e-11, -3.6031746031266545, -1.9999999999421507, 5.603174603230414, 1.0, 0.0, 0.0
0.1, 4.682539682539682, 0.0, 2.748730440716926e-06, 0.9999999999977455, 8.302358800449383e-12, -3.682539682503916, -1.9999999999572462, 5.68253968258107, 1.0, 0.0, 0.0
0.1, 4.761904761904762, 0.0, 2.0642048174941002e-06, 0.9999999999979832, 2.9306557181030257e-12, -3.761904761869641, -1.999999999958361, 5.761904761945205, 1.0, 0.0, 0.0
0.1, 4.841269841269841, 0.0, 2.320086059104387e-07, 0.9999999999982107, 3.749001109554229e-12, -3.8412698412357815, -1.9999999999599327, 5.841269841308867, 1.0, 0.0, 0.0
0.1, 4.92063492063492, 0.0, 9.16281785535121e-07, 0.9999999999985782, 3.3622105100050706e-12, -3.9206349206054667, -1.999999999965587, 5.920634920668516, 1.0, 0.0, 0.0
0.1, 5.0, 0.0, 8.117853712479375e-07, 0.9999999999987443, 2.0927259924974353e-12, -3.9999999999717843, -1.9999999999672482, 6.000000000032056, 1.0, 0.0, 0.0
0.22666666666666666, 0.0, 0.0, -6.442925576892006e-06, 0.0, 2.8795379371926144e-12, -1.9999999999577773, 0.9999956916084491, 1.0000043085131194, 1.0, 0.0, 0.0
0.22666666666666666, 0.07936507936507936, 0.0, -6.61369877358236e-06, 2.2853475692004877e-13, 2.789078350432146e-12, -1.9999999999558613, 0.9206349205763726, 1.079365079550751, 1.0, 0.0, 0.0
0.22666666666666666, 0.15873015873015872, 0.0, -6.564545660861642e-06, 4.427108492749438e-13, 3.0293682214018975e-12, -1.9999999999574536, 0.8412698412725212, 1.1587301588501182, 1.0, 0.0, 0.0
