J, B, T, O, m, chi, E0, E1, E2, p0, p1, p2, boundary 
0.1, 1.0, 1.0, 3.387906175579547e-06, 0.10143418785005898, 0.12390130140595514, -1.9999999999368065, 7.12023799299152e-11, 2.000000000079214, 0.8668133321983686, 0.11731042782539874, 0.015876239976231356, 0 
0.1, 1.0, 1.5, 1.8914744797206631e-06, 0.14561286725300537, 0.15264662504811907, -1.999999999976981, 2.593610772450896e-11, 2.000000000028853, 0.750142195451803, 0.1977353359005589, 0.0521224686476379, 0 
0.1, 1.0, 2.0, 1.0127598192690226e-06, 0.15469789788440436, 0.15540307292783065, -1.999999999990232, 1.1004870991374831e-11, 2.000000000012242, 0.6652409557749965, 0.24472847105471054, 0.09003057317029271, 0 
0.1, 1.3333333333333333, 0.0, 2.399245847493151e-06, 5.847312189485194e-12, 1.2828738325717803e-11, -1.9999999998887563, -0.33333333320196157, 2.333333333471966, 1.0, 0.0, 0.0, 0 
0.1, 1.3333333333333333, 0.5, 6.268978695262231e-06, 0.034273196368011585, 0.07084523456170282, -1.9999999998381504, -0.3333333331422048, 2.3333333335350224, 0.9653942595771777, 0.0344394683916152, 0.0001662720312053448, 0 
0.1, 1.3333333333333333, 1.0, 3.2532574618972243e-06, 0.14621628272524861, 0.14736965576025507, -1.9999999999384555, -0.3333333332606545, 2.3333333334100277, 0.8319472180504565, 0.15713453233656288, 0.010918249612981455, 0 
0.1, 1.3333333333333333, 1.5, 1.5904433293230033e-06, 0.19753673356431853, 0.1593061930422245, -1.9999999999778695, -0.3333333333071999, 2.3333333333609123, 0.7221097809396216, 0.2377134763121919, 0.04017674274818619, 0 
0.1, 1.3333333333333333, 2.0, 9.650648869078196e-07, 0.20658936032207964, 0.15585178700969396, -1.9999999999908813, -0.333333333322562, 2.3333333333446995, 0.6455123438819104, 0.2805385082200515, 0.07394914789803886, 0 
0.1, 1.6666666666666665, 0.0, 3.6659301824217025e-06, 1.3707671143602952e-11, -5.296904404203454e-12, -1.9999999998486861, -0.6666666664778234, 2.6666666668572185, 1.0, 0.0, 0.0, 0 
0.1, 1.6666666666666665, 0.5, 2.7863431486718845e-06, 0.06488112267445117, 0.1273274589355552, -1.9999999998938638, -0.66666666653421, 2.6666666668003156, 0.9349535270837708, 0.06496379779129169, 8.267512493240503e-05, 0 
0.1, 1.6666666666666665, 1.0, 3.228885954789651e-06, 0.19968062502356235, 0.17475777356277405, -1.9999999999403757, -0.6666666665922578, 2.66666666674175, 0.7855455220716223, 0.20706755147464273, 0.007386926453733265, 0 
0.1, 1.6666666666666665, 1.5, 1.9504498444782026e-06, 0.2518169959478217, 0.16629821769010356, -1.999999999979292, -0.666666666640823, 2.6666666666927443, 0.6869718524224693, 0.28242257176239993, 0.03060557581513054, 0 
0.1, 1.6666666666666665, 2.0, 9.104127244299529e-07, 0.25859908922420033, 0.15598188214370082, -1.9999999999915505, -0.6666666666561218, 2.666666666677311, 0.6209679437950397, 0.3188155727145078, 0.0602164834904522, 0 
0.1, 2.0, 0.0, -1.6554132115742926e-06, 2.316042586682891e-12, 2.3574296227794064e-11, -1.999999999986812, -0.9999999999821073, 3.000000000017172, 1.0, 0.0, 0.0, 0 
0.1, 2.0, 0.5, 3.4073588646282075e-06, 0.11915816899171504, 0.21555766548591057, -1.9999999998754117, -0.9999999998309652, 3.0000000001621996, 0.8807618579715332, 0.11919815550198683, 3.9986526486375383e-05, 0 
0.1, 2.0, 1.0, 3.3049359945552803e-06, 0.2627214651004313, 0.20295640892329325, -1.9999999999438935, -0.9999999999238781, 3.0000000000730456, 0.7274751568044225, 0.2676231541459618, 0.004901689049616559, 0 
0.1, 2.0, 1.5, 1.5995174631917852e-06, 0.30840221202438756, 0.17261113957657456, -1.9999999999809852, -0.9999999999742, 3.000000000024754, 0.6455398213893978, 0.3314311953170594, 0.023028983293543775, 0 
0.1, 2.0, 2.0, 1.0398534120254974e-06, 0.3105772817512135, 0.1555301271052359, -1.9999999999923843, -0.9999999999896644, 3.0000000000099174, 0.5922010701864819, 0.35918810578224597, 0.04861082403127282, 0 
0.1, 2.333333333333333, 0.0, -9.02205362405676e-06, 2.9423868628798995e-11, 1.206273057648138e-10, -1.9999999999338511, -1.3333333332276875, 3.3333333334272393, 1.0, 0.0, 0.0, 0 
0.1, 2.333333333333333, 0.5, 3.5589840466585072e-06, 0.20858623299839155, 0.3301123084654862, -1.9999999998588356, -1.3333333331078765, 3.3333333335337287, 0.7913768744702371, 0.20860467924615564, 1.8446283607022933e-05, 0 
0.1, 2.333333333333333, 1.0, 2.8111815054288752e-06, 0.3349848976390912, 0.22778622720414168, -1.9999999999518259, -1.3333333332563955, 3.3333333334017183, 0.6586551936908588, 0.33816485197088775, 0.0031799543382525584, 0 
