J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
0.1, 1.6666666666666665, 2.0, 6.744393415969441e-07, 0.320587859818264, 0.1833545836455997, -1.9999999999999674, -1.6666666666665233, 1.6666666666667078, 2.000000000000151, 0.4669195104469073, 0.39523883258815734, 0.0746509727699062, 0.063190684195029, 0 
0.1, 2.0, 0.0, 0.5262776086321279, 0.49930901472250483, 1.49999999998067, -2.052629663538121, -1.84211862008524, 1.952905868624292, 2.1634169120771705, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 2.0, 0.5, 1.730117830107958e-05, 0.4996646498623711, 0.4829902504018975, -2.000003460199321, -1.9999965396869295, 1.9999965398066644, 2.000003460319055, 0.4998357840305654, 0.49982886583896885, 0.00016767622562859866, 0.00016767390483386568, 0 
0.1, 2.0, 1.0, 2.645297108000433e-06, 0.48201378999482397, 0.26566666806156153, -2.000000529087432, -1.9999994709099083, 1.9999994709127085, 2.000000529090233, 0.4910071548051856, 0.4910066352327252, 0.008993109739195315, 0.008993100222893749, 0 
0.1, 2.0, 1.5, 1.7192881682226435e-07, 0.43503083050825336, 0.20669446658469218, -2.0000000382466587, -1.9999999617533297, 1.9999999617533446, 2.0000000382466725, 0.46751542735627194, 0.46751540351506493, 0.032484585392616665, 0.032484583736047346, 0 
0.1, 2.0, 2.0, 3.9239011570546545e-07, 0.38079707775383675, 0.17729789772192667, -2.000000079378233, -1.9999999206217054, 1.99999992062177, 2.0000000793782964, 0.4403985564679768, 0.44039852150990544, 0.05960146337658893, 0.05960145864552847, 0 
0.1, 2.333333333333333, 0.0, 3.528543792141346e-06, 0.9999999999954758, 0.7510364779115316, -2.333333333332449, -1.9999999999961184, 2.000000000001115, 2.333333333337448, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 2.333333333333333, 0.5, 1.565012762037854e-05, 0.6605841661661864, 0.4374576054588128, -2.3333333333160016, -1.999999999923884, 2.0000000000218545, 2.3333333334139708, 0.6606425848294065, 0.3391852125734812, 0.00011378396276792028, 5.841863434954931e-05, 0 
0.1, 2.333333333333333, 1.0, 2.072609699185768e-06, 0.5696164789316068, 0.25413992913887906, -2.333333333333027, -1.9999999999986529, 2.0000000000003877, 2.3333333333347603, 0.5750237507405516, 0.4120225217287545, 0.0075464557220167395, 0.005407271808678105, 0 
0.1, 2.333333333333333, 1.5, 5.800539004813254e-07, 0.5026224891794776, 0.1974531888065468, -2.333333333333307, -1.999999999999892, 2.0000000000000298, 2.333333333333446, 0.5260591757480678, 0.42123525816904167, 0.029268879514314353, 0.023436686568575744, 0 
0.1, 2.333333333333333, 2.0, 2.7103762655078523e-07, 0.43878645829954843, 0.17006017725212946, -2.3333333333333295, -1.9999999999999767, 2.000000000000006, 2.333333333333357, 0.48590568917539867, 0.4113102859073501, 0.05566479404140384, 0.04711923087584789, 0 
0.1, 2.6666666666666665, 0.0, 5.8460809392348045e-06, 0.9999999999968592, -3.748235055667237e-11, -2.66666666666217, -1.999999999991402, 2.00000000000508, 2.666666666675849, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 2.6666666666666665, 0.5, 1.2678157569084858e-05, 0.7913030535015796, 0.3302512709138271, -2.6666666666455328, -1.9999999999595708, 2.00000000002389, 2.6666666667098546, 0.7913214985031533, 0.20859008232682993, 6.997417717407433e-05, 1.8444992844376898e-05, 0 
0.1, 2.6666666666666665, 1.0, 1.4261318947855761e-06, 0.6514404094207433, 0.23212387316116134, -2.6666666666663934, -1.999999999999478, 2.0000000000003095, 2.6666666666672234, 0.6546007892974567, 0.3360832513574774, 0.006155579468416546, 0.003160379876649816, 0 
0.1, 2.6666666666666665, 1.5, 4.503968944330472e-07, 0.5666662897126179, 0.18553302588019166, -2.6666666666666416, -1.9999999999999485, 2.000000000000028, 2.6666666666667203, 0.583329385738589, 0.37401936213046866, 0.025988156104976175, 0.016663096025966634, 0 
0.1, 2.6666666666666665, 2.0, 2.766259437764207e-07, 0.4941705292552564, 0.16172203932159357, -2.6666666666666563, -1.999999999999981, 2.0000000000000115, 2.6666666666666883, 0.5310711882605976, 0.38052913453234394, 0.05149901820171806, 0.03690065900534028, 0 
0.1, 3.0, 0.0, 2.663144286410568e-05, 0.9999999999704876, 1.0303424780033765e-12, -2.999999999892166, -1.9999999998354108, 2.000000000119185, 3.0000000001759437, 1.0, 0.0, 0.0, 0.0, 0 
0.1, 3.0, 0.5, 5.4129544156539255e-06, 0.8807516801087378, 0.21555670321734893, -2.999999999995547, -1.9999999999931986, 2.0000000000049254, 3.000000000007274, 0.8807570916682806, 0.11919751046302213, 3.998631009951259e-05, 5.411558602879141e-06, 0 
0.1, 3.0, 1.0, 1.0604985931361721e-06, 0.7243657277057144, 0.20271946554906212, -2.999999999999828, -1.999999999999738, 2.0000000000001856, 3.000000000000279, 0.7261657125463317, 0.26714143652938266, 0.004892866083690249, 0.0017999848405945043, 0 
0.1, 3.0, 1.5, 5.73905630976701e-07, 0.6263111730996054, 0.1713335409159361, -2.9999999999999445, -1.9999999999999147, 2.0000000000000653, 3.0000000000000906, 0.6379964863559878, 0.32755831797780116, 0.022759882409833773, 0.011685313256377224, 0 
