J, B, T, Ox, Oy, Oz, p1, p2, p3, p4, p5, p6, m, chi
0.01, 3.6666666666666665, 0.1, 2.627520672703748e-05, -2.4949221948095997e-07, 6.32432390131567e-07, 0.9655548043337813, 0.034445195666210335, 4.102018861708645e-18, 8.454891036122088e-27, 8.454891036122058e-27, 4.885023416580432e-34, 0.03444519566621232, 0.10615737409001887
0.01, 3.6666666666666665, 0.5, 5.8143538741228795e-05, 2.0342939051016482e-07, 0.0, 0.6606044802365867, 0.3391656490630908, 0.0002216081149443391, 4.058894208133614e-06, 4.058894208133608e-06, 1.4479696497815992e-07, 0.3391655042661256, 0.41796729576853836
0.01, 4.0, 0.1, 4.762106255204023e-07, 0.0, 5.977744258950159e-08, 0.5000000073212137, 0.49999999267879675, 2.12417712764579e-18, 4.378255381348259e-27, 4.378255381348213e-27, 9.024256939227106e-36, 0.5000000000000058, 1.4897753738681392
0.01, 4.0, 0.5, 6.598509447397483e-05, 0.0, 8.742935977348035e-07, 0.49991307063903373, 0.4999130278140847, 0.0001677021452162988, 3.0715719326477915e-06, 3.0715719326477915e-06, 5.62578023391482e-08, 0.4999129929687573, 0.5143919638484216
0.01, 4.333333333333333, 0.1, 3.887461471602932e-05, -1.9865056583973605e-06, 0.0, 0.9655548043337839, 0.03444519566621141, 1.4633539358289933e-19, 3.0161972657437093e-28, 3.016197265743634e-28, 2.2177972000084916e-38, 0.9655548043337835, 1.4897753738680888
0.01, 4.333333333333333, 0.5, 6.620086565445327e-05, 2.0360917247273075e-07, -4.6682298972352086e-07, 0.6606784140443083, 0.33920360794565035, 0.00011379013371546117, 2.0841389982331703e-06, 2.084138998233149e-06, 1.9598331435896165e-08, 0.6606783944459766, 0.5144492847271019
0.01, 4.666666666666666, 0.1, -7.095006087833727e-07, -1.8069597486628024e-07, 0.0, 0.9987289837369238, 0.001271016263081377, 5.399727349806572e-21, 1.112966758723435e-29, 1.112966758723419e-29, 2.919416170656513e-41, 0.9987289837369233, 0.10615737409004744
0.01, 4.666666666666666, 0.5, 4.284725261127775e-05, -2.032876830230174e-07, 0.0, 0.7913340613695141, 0.20859339387049905, 6.997528807090129e-05, 1.281642107441776e-06, 1.2816421074417727e-06, 6.187704004717649e-09, 0.7913340551818097, 0.41809811435466565
0.01, 5.0, 0.1, 0.00011734657463247089, -2.0389616977246037e-07, 0.0, 0.9999546021313125, 4.5397868702435065e-05, 1.9286622868315719e-22, 3.975269258963561e-31, 3.975269258963491e-31, 3.719907092500116e-44, 0.9999546021313126, 0.003921978862045705
0.01, 5.0, 0.5, 3.770281247073015e-05, 0.0, 0.0, 0.880760566262577, 0.11919798069878526, 3.99864678458873e-05, 7.323777055012536e-07, 7.323777055012506e-07, 1.8153828316531399e-09, 0.8807605644471943, 0.28616482964923085
0.14266666666666666, 0.0, 0.1, 7.41600876398834e-07, 6.2819236511624825e-09, 2.4262556309938866e-08, 0.9999999999999892, 4.248354255291596e-18, 4.248354255291592e-18, 4.248354255291585e-18, 8.75651076269655e-27, 8.756510762696519e-27, 1.125776166674843e-18, 3.771053020898703e-16
0.14266666666666666, 0.0, 0.5, 1.031128746774388e-06, 7.837643084961559e-08, 4.817888727958616e-08, 0.9989823603370018, 0.00033512124782690534, 0.00033512124782690507, 0.000335121247826905, 6.1379597591395976e-06, 6.1379597591395755e-06, 1.1387320171221533e-18, 0.0015379065749300722
0.14266666666666666, 0.3333333333333333, 0.1, 8.357628123126931e-07, 2.9683830509783055e-08, 3.3607460636069775e-09, 0.9999999999999909, 1.1908827290339795e-16, 4.248354255291558e-18, 1.5155576144004297e-19, 8.756510762696534e-27, 8.756510762696503e-27, 1.1897118306975932e-16, 3.771053020898703e-16
0.14266666666666666, 0.3333333333333333, 0.5, 7.983492792637027e-07, -3.1984213928613624e-08, -5.662405712705832e-09, 0.9988279999075076, 0.000652626204406543, 0.00033506946567158307, 0.000172030399740894, 6.137011335881854e-06, 6.137011335881827e-06, 0.0004805958046656487, 0.0015379065749300722
0.14266666666666666, 0.6666666666666666, 0.1, 5.820103182653958e-07, -3.179395565232377e-08, -8.52780538990597e-08, 0.999999999999972, 3.338237795365021e-15, 4.248354255291546e-18, 5.40659922534993e-21, 8.756510762696618e-27, 8.756510762696278e-27, 3.3773822879233044e-15, 1.0426915535531344e-14
0.14266666666666666, 0.6666666666666666, 0.5, 6.745839800624282e-07, -9.386515927586746e-08, -1.5326363637093372e-07, 0.9982941032140186, 0.0012704628194283702, 0.0003348903632837547, 8.82761413441344e-05, 6.13373096122223e-06, 6.133730961222171e-06, 0.0011821866780843623, 0.002245090794939884
0.14266666666666666, 1.0, 0.1, 2.102413075655632e-07, -3.210702005624574e-08, -5.9456828337380217e-08, 0.9999999999999072, 9.35762296883939e-14, 4.2483542552911975e-18, 1.9287498479637455e-22, 8.756510762695676e-27, 8.756510762695583e-27, 9.3606929421215e-14, 2.8873455082653344e-13
