J, B, T, Ox, Oy, p1, p2, p3, p4, m, chi
0.32338582677165356, 0.0, 0.1, 3.958912754922512e-08, -4.453426623368856e-08, 0.9999999958776934, 2.061153613941856e-09, 2.061153613941795e-09, 4.248354237778465e-18, 1.2447490061711892e-17, 9.689080987459404e-08
0.32338582677165356, 0.1, 0.1, 8.13737528767124e-08, 1.2056329534661915e-08, 0.9999999936389523, 5.602796401897423e-09, 7.582560379678632e-10, 4.2483542282673336e-18, 4.844540506177192e-09, 9.689080987459404e-08
0.33905511811023625, 0.0, 0.1, 2.1594472430217556e-07, -2.4555168954779894e-08, 0.9999999958776931, 2.0611536139414956e-09, 2.0611536139412946e-09, 4.2483542377767274e-18, 1.2447493267036766e-17, 9.689082622485103e-08
0.33905511811023625, 0.1, 0.1, 1.9814675838926866e-07, -4.767881339813071e-08, 0.9999999936389431, 5.602796401896471e-09, 7.582560379677476e-10, 4.248354228265966e-18, 4.844541323690045e-09, 9.689082622485103e-08
0.3547244094488189, 0.0, 0.1, 7.318140855623254e-07, -4.437161982749599e-09, 0.999999995877698, 2.0611536139363807e-09, 2.061153613936246e-09, 4.248354237755723e-18, 1.2447492956844036e-17, 9.689124298414817e-08
0.3547244094488189, 0.1, 0.1, 9.28315030210335e-07, -8.279373217560665e-09, 0.9999999936389515, 5.602796401872024e-09, 7.582560379647548e-10, 4.248354228230638e-18, 4.844562161654902e-09, 9.689124298414817e-08
0.3703937007874016, 0.0, 0.1, 4.295751040939589e-06, 5.457295722153853e-09, 0.9999999958776998, 2.061153613733661e-09, 2.0611536137326002e-09, 4.2483542369181795e-18, 1.2447466797257164e-17, 9.690374805852691e-08
0.3703937007874016, 0.1, 0.1, 4.8437424389892285e-06, -4.975776508881225e-08, 0.9999999936389413, 5.602796401138154e-09, 7.58256037874894e-10, 4.248354227170752e-18, 4.8451874153738125e-09, 9.690374805852691e-08
0.3860629921259843, 0.0, 0.1, 1.960398446071692e-05, -3.401889398276535e-09, 0.9999999958776922, 2.0611536092209433e-09, 2.0611536092176656e-09, 4.24835421831083e-18, 1.244757267637557e-17, 9.718452459024767e-08
0.3860629921259843, 0.1, 0.1, 2.2140513169953933e-05, 7.120144000594772e-08, 0.9999999936389502, 5.6027963846615736e-09, 7.582560358573999e-10, 4.2483542033736644e-18, 4.859226241959957e-09, 9.718452459024767e-08
