J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3 
0.22666666666666666, 1.5625, 0.0, 0.30835778620425236, 0.07714714261456056, 0.5984988893984219, -2.0032224014882543, -1.4840211348097416, 1.570231103923404, 2.0894323706019176, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 1.875, 0.0, 0.548576619468274, 0.37406180593935423, 0.9668139690097963, -2.073392072726633, -1.5605489963531831, 1.8333979166600913, 2.3462409930335433, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.1875, 0.0, 0.5207118646018728, 0.6814058732456832, 0.9948690702997267, -2.238088831454345, -1.7301064716921297, 1.9759408407263208, 2.4839232004885345, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.5, 0.0, 0.07070470720364126, 0.9958549748766834, 0.5097506027844231, -2.5000083876430668, -1.9958807232167535, 2.0004521176726713, 2.5045797820989866, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 2.8125, 0.0, 5.111309384382397e-06, 0.9999999999859477, 0.006632040197180089, -2.812499999993081, -1.9999999999708789, 2.0000000000106692, 2.812500000032871, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.125, 0.0, -1.3064095532935318e-07, 0.999999999999921, 2.2459190063273126e-11, -3.1249999999998916, -1.999999999999724, 2.0000000000001434, 3.1250000000003153, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.4375, 0.0, 3.8009449681338913e-07, 0.9999999999999847, 5.933031843596836e-14, -3.4374999999999667, -1.9999999999999203, 2.000000000000051, 3.4375000000000937, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 3.75, 0.0, -3.2845099962269217e-07, 0.999999999999958, -2.112479080551566e-11, -3.7499999999998255, -1.9999999999996916, 2.0000000000002123, 3.750000000000348, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.0625, 0.0, 1.5598539347363993e-05, 0.9999999999867817, -5.728395535697928e-12, -4.062499999921577, -1.999999999872708, 2.0000000000950506, 4.062500000143922, 1.0, 0.0, 0.0, 0.0
0.22666666666666666, 4.375, 0.0, 9.309393314373138e-06, 0.9999999999963778, 1.8975221394157416e-11, -4.374999999970796, -1.9999999999556832, 2.000000000034839, 4.3750000000499485, 1.0, 0.0, 0.0, 0.0
